id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction,ref_player_id
152,19,MissedShots,0.77,0.6179999923706054,0.01591789908707142,Benjamin Stambouli,h,3290,SetPiece,2014,LeftFoot,6190,Montpellier,Bordeaux,0,1,2014-08-09 20:00:00,,None,3290
309,9,SavedShot,0.855,0.6040000152587891,0.07028450071811676,Benjamin Stambouli,a,3290,OpenPlay,2014,LeftFoot,6202,Marseille,Montpellier,0,2,2014-08-17 16:00:00,,Dispossessed,3290
318,42,MissedShots,0.9230000305175782,0.67,0.050543900579214096,Benjamin Stambouli,a,3290,FromCorner,2014,LeftFoot,6202,Marseille,Montpellier,0,2,2014-08-17 16:00:00,Mathieu Deplagne,Pass,3290
336,90,BlockedShot,0.7330000305175781,0.3370000076293945,0.02193260006606579,Benjamin Stambouli,a,3290,OpenPlay,2014,RightFoot,6202,Marseille,Montpellier,0,2,2014-08-17 16:00:00,Jonas Martin,Pass,3290
19495,47,MissedShots,0.8480000305175781,0.355,0.036239899694919586,Benjamin Stambouli,h,3290,FromCorner,2014,RightFoot,4621,Tottenham,Burnley,2,1,2014-12-20 15:00:00,,None,3290
19506,66,BlockedShot,0.77,0.37400001525878906,0.024460099637508392,Benjamin Stambouli,h,3290,OpenPlay,2014,LeftFoot,4621,Tottenham,Burnley,2,1,2014-12-20 15:00:00,Nacer Chadli,Pass,3290
65616,45,MissedShots,0.9290000152587891,0.5109999847412109,0.08954410254955292,Benjamin Stambouli,a,3290,OpenPlay,2015,Head,2029,Nice,Paris Saint Germain,0,3,2015-12-04 23:30:00,Layvin Kurzawa,Chipped,3290
66454,57,MissedShots,0.815,0.5129999923706055,0.04495999962091446,Benjamin Stambouli,a,3290,OpenPlay,2015,RightFoot,2098,Saint-Etienne,Paris Saint Germain,0,2,2016-02-01 00:00:00,,Rebound,3290
69163,88,MissedShots,0.7909999847412109,0.6469999694824219,0.029901599511504173,Benjamin Stambouli,h,3290,OpenPlay,2015,LeftFoot,2107,Paris Saint Germain,Lorient,3,1,2016-02-04 00:00:00,Lucas Moura,Pass,3290
69596,66,BlockedShot,0.720999984741211,0.4640000152587891,0.016742000356316566,Benjamin Stambouli,h,3290,OpenPlay,2015,LeftFoot,2120,Paris Saint Germain,Lille,0,0,2016-02-13 20:00:00,Lucas Moura,Pass,3290
128248,50,SavedShot,0.6819999694824219,0.48200000762939454,0.01278700027614832,Benjamin Stambouli,a,3290,OpenPlay,2016,RightFoot,1353,Hertha Berlin,Schalke 04,2,0,2016-09-18 19:30:00,Klaas-Jan Huntelaar,Pass,3290
128783,45,MissedShots,0.7119999694824218,0.435,0.01620209962129593,Benjamin Stambouli,a,3290,OpenPlay,2016,LeftFoot,1370,Hoffenheim,Schalke 04,2,1,2016-09-25 17:30:00,Sascha Riether,Pass,3290
133508,15,MissedShots,0.7880000305175782,0.33599998474121096,0.02192709967494011,Benjamin Stambouli,h,3290,OpenPlay,2016,RightFoot,3844,Schalke 04,RasenBallsport Leipzig,1,1,2017-04-23 16:30:00,Daniel Caligiuri,Pass,3290
133512,37,BlockedShot,0.8159999847412109,0.6430000305175781,0.027050500735640526,Benjamin Stambouli,h,3290,FromCorner,2016,LeftFoot,3844,Schalke 04,RasenBallsport Leipzig,1,1,2017-04-23 16:30:00,,None,3290
168228,17,OwnGoal,0.09,0.4640000152587891,0,Benjamin Stambouli,a,3290,SetPiece,2017,RightFoot,8367,Borussia Dortmund,Schalke 04,4,4,2017-11-25 14:30:00,,Foul,3290
257535,28,MissedShots,0.725,0.44099998474121094,0.017613399773836136,Benjamin Stambouli,h,3290,OpenPlay,2018,RightFoot,10473,Schalke 04,Bayer Leverkusen,1,2,2018-12-19 17:30:00,Bastian Oczipka,Pass,3290
286174,43,MissedShots,0.8090000152587891,0.24100000381469727,0.010402900166809559,Benjamin Stambouli,h,3290,OpenPlay,2018,RightFoot,10564,Schalke 04,RasenBallsport Leipzig,0,1,2019-03-16 14:30:00,,Aerial,3290
288177,34,SavedShot,0.7819999694824219,0.51,0.05187150090932846,Benjamin Stambouli,a,3290,OpenPlay,2018,LeftFoot,10577,Hannover 96,Schalke 04,0,1,2019-03-31 13:30:00,,TakeOn,3290
399907,60,SavedShot,0.7180000305175781,0.524000015258789,0.015317600220441818,Benjamin Stambouli,h,3290,OpenPlay,2020,RightFoot,15289,Schalke 04,FC Cologne,1,2,2021-01-20 17:30:00,,BallRecovery,3290
412469,29,MissedShots,0.8859999847412109,0.6090000152587891,0.027493799105286598,Benjamin Stambouli,a,3290,SetPiece,2020,Head,15377,Bayer Leverkusen,Schalke 04,2,1,2021-04-03 13:30:00,Amine Harit,Cross,3290
561655,18,BlockedShot,0.725,0.44799999237060545,0.010994923301041126,Benjamin Stambouli,h,3290,SetPiece,2023,RightFoot,23547,Reims,Toulouse,2,3,2024-02-04 14:00:00,,None,3290
579575,83,BlockedShot,0.8219999694824218,0.38299999237060545,0.032556843012571335,Benjamin Stambouli,a,3290,FromCorner,2023,RightFoot,23667,Brest,Reims,1,1,2024-05-10 19:00:00,,None,3290
